% Rf_ohm  Iss  fHIF  TMS_star
(0,0.5128,1.0000,0.0996)
(1,0.5107,1.0000,0.0996)
(2,0.5085,0.9971,0.0993)
(3,0.5064,0.9929,0.0989)
(4,0.5043,0.9888,0.0985)
(5,0.5022,0.9847,0.0981)
(6,0.5001,0.9806,0.0977)
(7,0.4980,0.9766,0.0973)
(8,0.4960,0.9726,0.0969)
(9,0.4940,0.9686,0.0965)
(10,0.4920,0.9646,0.0961)
(11,0.4900,0.9607,0.0957)
(12,0.4880,0.9569,0.0953)
(13,0.4860,0.9530,0.0949)
(14,0.4841,0.9492,0.0945)
(15,0.4822,0.9454,0.0942)
(16,0.4803,0.9417,0.0938)
(17,0.4784,0.9380,0.0934)
(18,0.4765,0.9343,0.0931)
(19,0.4746,0.9306,0.0927)
(20,0.4727,0.9270,0.0923)
(21,0.4709,0.9234,0.0920)
(22,0.4691,0.9198,0.0916)
(23,0.4673,0.9162,0.0913)
(24,0.4655,0.9127,0.0909)
(25,0.4637,0.9092,0.0906)
(26,0.4619,0.9057,0.0902)
(27,0.4602,0.9023,0.0899)
(28,0.4584,0.8989,0.0597)
(29,0.4567,0.8955,0.0595)
(30,0.4550,0.8921,0.0592)
(31,0.4533,0.8888,0.0590)
(32,0.4516,0.8854,0.0588)
(33,0.4499,0.8822,0.0586)
(34,0.4482,0.8789,0.0584)
(35,0.4466,0.8756,0.0581)
(36,0.4449,0.8724,0.0579)
(37,0.4433,0.8692,0.0577)
(38,0.4417,0.8661,0.0575)
(39,0.4401,0.8629,0.0573)
(40,0.4385,0.8598,0.0571)
(41,0.4369,0.8567,0.0569)
(42,0.4353,0.8536,0.0567)
(43,0.4338,0.8505,0.0565)
(44,0.4322,0.8475,0.0563)
(45,0.4307,0.8445,0.0561)
(46,0.4292,0.8415,0.0559)
(47,0.4276,0.8385,0.0557)
(48,0.4261,0.8356,0.0555)
(49,0.4246,0.8326,0.0553)
(50,0.4232,0.8297,0.0551)
(51,0.4217,0.8268,0.0549)
(52,0.4202,0.8239,0.0547)
(53,0.4188,0.8211,0.0545)
(54,0.4173,0.8183,0.0543)
(55,0.4159,0.8154,0.0541)
(56,0.4145,0.8127,0.0540)
(57,0.4130,0.8099,0.0538)
(58,0.4116,0.8071,0.0536)
(59,0.4102,0.8044,0.0534)
(60,0.4089,0.8017,0.0532)
(61,0.4075,0.7990,0.0531)
(62,0.4061,0.7963,0.0529)
(63,0.4047,0.7936,0.0527)
(64,0.4034,0.7910,0.0525)
(65,0.4021,0.7884,0.0523)
(66,0.4007,0.7857,0.0522)
(67,0.3994,0.7831,0.0520)
(68,0.3981,0.7806,0.0518)
(69,0.3968,0.7780,0.0517)
(70,0.3955,0.7755,0.0515)
(71,0.3942,0.7729,0.0513)
(72,0.3929,0.7704,0.0512)
(73,0.3916,0.7679,0.0510)
(74,0.3904,0.7655,0.0508)
(75,0.3891,0.7630,0.0507)
(76,0.3879,0.7606,0.0505)
(77,0.3866,0.7581,0.0503)
(78,0.3854,0.7557,0.0502)
(79,0.3842,0.7533,0.0500)
(80,0.3830,0.7509,0.0500)
(81,0.3818,0.7486,0.0500)
(82,0.3806,0.7462,0.0500)
(83,0.3794,0.7439,0.0500)
(84,0.3782,0.7415,0.0500)
(85,0.3770,0.7392,0.0500)
(86,0.3758,0.7369,0.0500)
(87,0.3747,0.7346,0.0500)
(88,0.3735,0.7324,0.0500)
(89,0.3724,0.7301,0.0500)
(90,0.3712,0.7279,0.0500)
(91,0.3701,0.7257,0.0500)
(92,0.3690,0.7234,0.0500)
(93,0.3678,0.7212,0.0500)
(94,0.3667,0.7191,0.0500)
(95,0.3656,0.7169,0.0500)
(96,0.3645,0.7147,0.0500)
(97,0.3634,0.7126,0.0500)
(98,0.3623,0.7105,0.0500)
(99,0.3612,0.7083,0.0500)
(100,0.3602,0.7062,0.0500)
(101,0.3591,0.7041,0.0500)
(102,0.3580,0.7020,0.0500)
(103,0.3570,0.7000,0.0500)
(104,0.3559,0.6979,0.0500)
(105,0.3549,0.6959,0.0500)
(106,0.3539,0.6938,0.0500)
(107,0.3528,0.6918,0.0500)
(108,0.3518,0.6898,0.0500)
(109,0.3508,0.6878,0.0500)
(110,0.3498,0.6858,0.0500)
(111,0.3488,0.6838,0.0500)
(112,0.3478,0.6819,0.0500)
(113,0.3468,0.6799,0.0500)
(114,0.3458,0.6780,0.0500)
(115,0.3448,0.6760,0.0500)
(116,0.3438,0.6741,0.0500)
(117,0.3428,0.6722,0.0500)
(118,0.3419,0.6703,0.0500)
(119,0.3409,0.6684,0.0500)
(120,0.3399,0.6665,0.0500)
(121,0.3390,0.6647,0.0500)
(122,0.3380,0.6628,0.0500)
(123,0.3371,0.6610,0.0500)
(124,0.3362,0.6591,0.0500)
(125,0.3352,0.6573,0.0500)
(126,0.3343,0.6555,0.0500)
(127,0.3334,0.6537,0.0500)
(128,0.3325,0.6519,0.0500)
(129,0.3316,0.6501,0.0500)
(130,0.3306,0.6483,0.0500)
