% Rf_ohm  gamma_3ph  gamma_slg
(0,1.0000)  % SLG=0.9700
(1,0.9969)  % SLG=0.9660
(2,0.9938)  % SLG=0.9621
(3,0.9908)  % SLG=0.9583
(4,0.9879)  % SLG=0.9546
(5,0.9850)  % SLG=0.9510
(6,0.9822)  % SLG=0.9475
(7,0.9795)  % SLG=0.9441
(8,0.9768)  % SLG=0.9407
(9,0.9741)  % SLG=0.9375
(10,0.9715)  % SLG=0.9343
(11,0.9690)  % SLG=0.9311
(12,0.9665)  % SLG=0.9281
(13,0.9640)  % SLG=0.9251
(14,0.9616)  % SLG=0.9221
(15,0.9592)  % SLG=0.9193
(16,0.9569)  % SLG=0.9165
(17,0.9546)  % SLG=0.9137
(18,0.9524)  % SLG=0.9110
(19,0.9502)  % SLG=0.9083
(20,0.9480)  % SLG=0.9057
(21,0.9458)  % SLG=0.9031
(22,0.9437)  % SLG=0.9006
(23,0.9417)  % SLG=0.8981
(24,0.9396)  % SLG=0.8957
(25,0.9376)  % SLG=0.8933
(26,0.9356)  % SLG=0.8909
(27,0.9337)  % SLG=0.8886
(28,0.9317)  % SLG=0.8863
(29,0.9298)  % SLG=0.8840
(30,0.9279)  % SLG=0.8818
(31,0.9261)  % SLG=0.8796
(32,0.9243)  % SLG=0.8775
(33,0.9225)  % SLG=0.8753
(34,0.9207)  % SLG=0.8732
(35,0.9189)  % SLG=0.8711
(36,0.9172)  % SLG=0.8691
(37,0.9155)  % SLG=0.8670
(38,0.9138)  % SLG=0.8650
(39,0.9121)  % SLG=0.8631
(40,0.9104)  % SLG=0.8611
(41,0.9088)  % SLG=0.8592
(42,0.9071)  % SLG=0.8572
(43,0.9055)  % SLG=0.8553
(44,0.9039)  % SLG=0.8535
(45,0.9024)  % SLG=0.8516
(46,0.9008)  % SLG=0.8498
(47,0.8993)  % SLG=0.8479
(48,0.8977)  % SLG=0.8461
(49,0.8962)  % SLG=0.8444
(50,0.8947)  % SLG=0.8426
(51,0.8932)  % SLG=0.8408
(52,0.8918)  % SLG=0.8391
(53,0.8903)  % SLG=0.8374
(54,0.8888)  % SLG=0.8357
(55,0.8874)  % SLG=0.8340
(56,0.8860)  % SLG=0.8323
(57,0.8846)  % SLG=0.8306
(58,0.8832)  % SLG=0.8290
(59,0.8818)  % SLG=0.8274
(60,0.8804)  % SLG=0.8257
(61,0.8790)  % SLG=0.8241
(62,0.8777)  % SLG=0.8225
(63,0.8763)  % SLG=0.8209
(64,0.8750)  % SLG=0.8194
(65,0.8737)  % SLG=0.8178
(66,0.8724)  % SLG=0.8162
(67,0.8711)  % SLG=0.8147
(68,0.8698)  % SLG=0.8132
(69,0.8685)  % SLG=0.8116
(70,0.8672)  % SLG=0.8101
(71,0.8659)  % SLG=0.8086
(72,0.8647)  % SLG=0.8071
(73,0.8634)  % SLG=0.8057
(74,0.8621)  % SLG=0.8042
(75,0.8609)  % SLG=0.8027
(76,0.8597)  % SLG=0.8013
(77,0.8585)  % SLG=0.7998
(78,0.8572)  % SLG=0.7984
(79,0.8560)  % SLG=0.7970
(80,0.8548)  % SLG=0.7956
(81,0.8536)  % SLG=0.7942
(82,0.8524)  % SLG=0.7928
(83,0.8513)  % SLG=0.7914
(84,0.8501)  % SLG=0.7900
(85,0.8489)  % SLG=0.7886
(86,0.8478)  % SLG=0.7873
(87,0.8466)  % SLG=0.7859
(88,0.8455)  % SLG=0.7845
(89,0.8443)  % SLG=0.7832
(90,0.8432)  % SLG=0.7819
(91,0.8421)  % SLG=0.7805
(92,0.8409)  % SLG=0.7792
(93,0.8398)  % SLG=0.7779
(94,0.8387)  % SLG=0.7766
(95,0.8376)  % SLG=0.7753
(96,0.8365)  % SLG=0.7740
(97,0.8354)  % SLG=0.7727
(98,0.8343)  % SLG=0.7715
(99,0.8332)  % SLG=0.7702
(100,0.8322)  % SLG=0.7689
(101,0.8311)  % SLG=0.7677
(102,0.8300)  % SLG=0.7664
(103,0.8290)  % SLG=0.7652
(104,0.8279)  % SLG=0.7640
(105,0.8268)  % SLG=0.7627
(106,0.8258)  % SLG=0.7615
(107,0.8248)  % SLG=0.7603
(108,0.8237)  % SLG=0.7591
(109,0.8227)  % SLG=0.7579
(110,0.8217)  % SLG=0.7567
(111,0.8206)  % SLG=0.7555
(112,0.8196)  % SLG=0.7543
(113,0.8186)  % SLG=0.7532
(114,0.8176)  % SLG=0.7520
(115,0.8166)  % SLG=0.7508
(116,0.8156)  % SLG=0.7497
(117,0.8146)  % SLG=0.7485
(118,0.8136)  % SLG=0.7474
(119,0.8126)  % SLG=0.7462
(120,0.8117)  % SLG=0.7451
(121,0.8107)  % SLG=0.7440
(122,0.8097)  % SLG=0.7429
(123,0.8087)  % SLG=0.7417
(124,0.8078)  % SLG=0.7406
(125,0.8068)  % SLG=0.7395
(126,0.8059)  % SLG=0.7384
(127,0.8049)  % SLG=0.7373
(128,0.8040)  % SLG=0.7363
(129,0.8030)  % SLG=0.7352
(130,0.8021)  % SLG=0.7341
(131,0.8011)  % SLG=0.7330
(132,0.8002)  % SLG=0.7320
(133,0.7993)  % SLG=0.7309
(134,0.7984)  % SLG=0.7298
(135,0.7975)  % SLG=0.7288
(136,0.7965)  % SLG=0.7278
(137,0.7956)  % SLG=0.7267
(138,0.7947)  % SLG=0.7257
(139,0.7938)  % SLG=0.7247
(140,0.7929)  % SLG=0.7236
(141,0.7920)  % SLG=0.7226
(142,0.7911)  % SLG=0.7216
(143,0.7902)  % SLG=0.7206
(144,0.7894)  % SLG=0.7196
(145,0.7885)  % SLG=0.7186
(146,0.7876)  % SLG=0.7176
(147,0.7867)  % SLG=0.7166
(148,0.7859)  % SLG=0.7156
(149,0.7850)  % SLG=0.7147
(150,0.7841)  % SLG=0.7137
