time,Va_kV,Vb_kV,Vc_kV
1.97,-3.2643531536765095e-13,7.794228634060314,-7.794228634059987
1.9701001112347052,-0.28301118505872414,7.931879685077917,-7.648868500019216
1.9702002224694104,-0.5657424506001852,8.061685505747626,-7.495943055147484
1.9703003337041156,-0.8479141539663325,8.183517708270887,-7.33560355430462
1.9704004449388208,-1.1292472059512688,8.297255791363419,-7.168008585412239
1.970500556173526,-1.4094633468388806,8.402787259438584,-6.993323912599814
1.9706006674082313,-1.6882854216197711,8.50000773387303,-6.811722312253392
1.9707007786429365,-1.9654376541256506,8.588821056247669,-6.623383402122172
1.970800889877642,-2.2406459197858073,8.669139383453093,-6.428493463667461
1.9709010011123471,-2.5136380167601486,8.74088327457428,-6.227245257814328
1.9710011123470523,-2.78414393517038,8.803981769464308,-6.019837834294145
1.9711012235817575,-3.051896124153367,8.858372458927583,-5.806476334774456
1.9712013348164628,-3.3166297564970346,8.9040015464491,-5.587371789952326
1.971301446051168,-3.5780829905668226,8.94082390140169,-5.3627409108351465
1.9714015572858732,-3.835997229294564,8.968803103684955,-5.132805874390691
1.9715016685205784,-4.0901173759430325,8.987911479746447,-4.897794103803734
1.9716017797552836,-4.3401920864234125,8.998130129953717,-4.657938043530644
1.9717018909899888,-4.585974017886308,8.999448947286927,-4.413474929400978
1.971802002224694,-4.8272200733689425,8.991866627335806,-4.164646553967241
1.9719021134593993,-5.063691642233696,8.97539066958955,-3.9116990273562484
1.9720022246941045,-5.295154836169625,8.950037370019576,-3.6548825338503637
1.9721023359288097,-5.521380720531676,8.91583180496109,-3.3944510844298454
1.972202447163515,-5.742145540767708,8.872807806311409,-3.13066226554415
1.97230255839822,-5.9572309437352535,8.821007928066667,-2.8637769843318783
1.9724026696329255,-6.166424193663692,8.76048340423369,-2.594059210570481
1.9725027808676308,-6.369518382568548,8.691294098155367,-2.3217757155873184
1.972602892102336,-6.566312634901274,8.61350844330036,-2.047195808399599
1.9727030033370412,-6.756612306225324,8.527203375579047,-1.77059106935425
1.9728031145717464,-6.940229175739938,8.432464257245828,-1.4922350815064322
1.9729032258064516,-7.116981632439288,8.329384792471881,-1.2124031600331497
1.9730033370411568,-7.286694854744235,8.218066934662307,-0.9313720799186408
1.973103448275862,-7.449200983412023,8.098620785617376,-0.6494198022059354
1.9732035595105673,-7.6043392875601405,7.971164486634932,-0.366825199075385
1.9733036707452725,-7.751956323645402,7.835824101656593,-0.08386777801179725
1.9734037819799777,-7.891906087226758,7.692733492584649,0.19917259464149192
1.973503893214683,-8.02405015737902,7.54203418687857,0.48201597049982514
1.973604004449388,-8.148257833597615,7.383875237577757,0.7643825960192213
1.9737041156840933,-8.264406265075095,7.218413075872437,1.0459931892020125
1.9738042269187985,-8.372380572206328,7.04581135638592,1.3265692158197535
1.973904338153504,-8.472073960216479,6.866240795302989,1.605833164912828
