Time(S),Phase A(A),Phase B(A),Phase C(A)
5.95,0.0019224229506241916,0.8658345959221944,-0.8660565326487281
5.95005,-0.0116402512007938,0.8726132448380225,-0.8578670038670643
5.9501,-0.030778095670107062,0.8812322278454108,-0.849218678400986
5.95015,-0.04647864850777803,0.8869921656102641,-0.8410559938824558
5.9502,-0.062416094485913204,0.8981754396950067,-0.8356730288048742
5.95025,-0.0743589232471515,0.9042771042959766,-0.8246595564303767
5.9502999999999995,-0.09303594103326272,0.9069825541194115,-0.8144461063501078
5.950349999999999,-0.11037757118472563,0.913500606144341,-0.8037191030993526
5.950399999999999,-0.12586595899805272,0.922142161043582,-0.7955706012019621
5.950449999999999,-0.14212188987272092,0.929953211108712,-0.7887618306455877
5.950499999999999,-0.160004611648693,0.9331034566924807,-0.7755745574246151
5.950549999999999,-0.1688526848841767,0.9416033586655339,-0.7664231421598877
5.950599999999999,-0.18284320693565545,0.941748179231333,-0.7558083885309586
5.950649999999999,-0.20094889475947808,0.9501722466664944,-0.7439183129483221
5.9506999999999985,-0.21657634392724465,0.9519673988931284,-0.7342758728203014
5.950749999999998,-0.23154829711908148,0.9584591403115754,-0.7276095359766914
5.950799999999998,-0.24646888515958504,0.9644341783223408,-0.7158115471883484
5.950849999999998,-0.265568678875232,0.9670671845385329,-0.7035442666360544
5.950899999999998,-0.28128395291803737,0.9726363959513021,-0.6931637060283237
5.950949999999998,-0.29543499639728926,0.9727121296493537,-0.6794985534149175
5.950999999999998,-0.30956384979017904,0.9793900206219519,-0.6679220398341031
5.951049999999998,-0.32682305210797674,0.9842727811816789,-0.6566279312654062
5.951099999999998,-0.33903960826410284,0.9839171907212262,-0.6466246050352213
5.9511499999999975,-0.3584334049432588,0.9841313722576601,-0.6324427009157351
5.951199999999997,-0.3675019990122295,0.9915735475470003,-0.620007793188034
5.951249999999997,-0.3842013481881776,0.9937285555326995,-0.6109664399224706
5.951299999999997,-0.39761990085897797,0.9936456011348572,-0.5950858854296884
5.951349999999997,-0.41173411769002627,0.9912349473344025,-0.5863194722618303
5.951399999999997,-0.4265730425292618,0.9973258402257845,-0.5697828895800102
5.951449999999997,-0.43821310991186346,0.994494121387695,-0.5551085664834401
5.951499999999997,-0.46107532866447276,0.9988243233567655,-0.5457070711008587
5.951549999999997,-0.4684232739724995,0.9967648893646088,-0.5308993704785063
5.9515999999999964,-0.48569308968992925,1.0000959453402745,-0.5171751022242271
5.951649999999996,-0.49636937269217807,0.9994559549703539,-0.5087458393225582
5.951699999999996,-0.5119455351631332,0.9991312924622602,-0.49302791461275736
5.951749999999996,-0.5218264722234434,0.9985527986677619,-0.47708459920656177
5.951799999999996,-0.5371344663490566,0.9981636377482016,-0.46017763104316367
5.951849999999996,-0.5503113980026053,1.000390941273783,-0.450120222467681
5.951899999999996,-0.5641120972792295,0.9982148970571911,-0.4297902923461916
5.951949999999996,-0.5729087869379151,0.9988857376738848,-0.4232451714589203
5.9519999999999955,-0.5878174725663851,0.9974682961614528,-0.4098928212969796
5.952049999999995,-0.6006535918295606,0.9913458404871093,-0.39186013254011365
5.952099999999995,-0.6115882169776107,0.9916073209824077,-0.37620946000095373
5.952149999999995,-0.6251438292268097,0.989763058704213,-0.36272789889676266
5.952199999999995,-0.635410285012489,0.9887175274990314,-0.34780854863994676
5.952249999999995,-0.6467262642937477,0.9861103095427868,-0.3334476492869763
5.952299999999995,-0.658810681241771,0.9792008995899839,-0.31782831533177147
5.952349999999995,-0.6748984638323179,0.9773459751626423,-0.3067827324376675
5.952399999999995,-0.6823753922830742,0.9753868995781508,-0.2847011347073651
5.9524499999999945,-0.6945152334082667,0.9714275734310527,-0.274314404023514
5.952499999999994,-0.7063449487797631,0.9664209158078915,-0.2593577314442251
5.952549999999994,-0.7171155350619615,0.9596135715147355,-0.24197031422976176
5.952599999999994,-0.730216747461369,0.9586049861910124,-0.2228648984220895
5.952649999999994,-0.738658432980571,0.9514960708775951,-0.2094499136250882
5.952699999999994,-0.7503483470882907,0.9465244408164949,-0.20051219725196956
5.952749999999994,-0.7628632109504815,0.9416952156026068,-0.18414411242690953
5.952799999999994,-0.7707553141280322,0.9353202137663065,-0.16778768435095318
5.9528499999999935,-0.7817250344122216,0.9344452788711045,-0.14970206392882346
5.952899999999993,-0.7910448824222542,0.9239268369985676,-0.1353612758245579
5.952949999999993,-0.8024501754566657,0.9204338042591564,-0.12261692370806873
5.952999999999993,-0.8133299118271202,0.9131037971062314,-0.1038633314163331
5.953049999999993,-0.8175430273683992,0.9044183822362467,-0.08525444483247292
5.953099999999993,-0.8279585095665388,0.9018118426115428,-0.07317832030250099
5.953149999999993,-0.828728320796098,0.8938597349235506,-0.05748966129655716
5.953199999999993,-0.8444008529690736,0.8856357812304385,-0.04457369424545724
5.953249999999993,-0.8512338965410039,0.8798192777270242,-0.02662048346413853
