trip,df_inf_true,tau_f_true,df_inf_hat,tau_f_hat,ifdi,kappa_n
True,0.3587385687457572,0.007719300251006779,0.3482800921538826,0.008051743533758548,9.167437540130543,16.670797933068062
True,-0.5080495426011719,0.011073945186615418,-0.5027111697899922,0.011522391598480173,13.214165525928733,17.05155707462249
True,0.8322709094048509,0.02083429677363409,0.8328895905412939,0.02082064001290722,21.810139110878307,18.70019239597393
True,0.10944628783892472,0.03162038151125788,0.1086452675629994,0.03162475096828612,2.831874095272441,20.746202619190925
True,0.2727451423762171,0.010402141910938507,0.2672937449222333,0.009807429601585007,7.030832301564105,16.86062322483162
True,-1.0106031314120978,0.03174326338128411,-1.0134886948539952,0.03139954063149074,26.419519147045047,20.726966508070287
True,0.9568917140521604,0.04994136882665851,0.9691930583080103,0.04879191417739337,25.06527912821911,20.817711690809325
True,0.8600060216449813,0.06299078995999381,0.8438025986066952,0.06101003129069963,21.692840946554917,21.07416760902361
True,-0.15295711267688625,0.017240602866472762,-0.13866547478146443,0.01946494342315296,3.633158573586204,18.382246741404096
True,-0.5002373934354558,0.008892157872310914,-0.49221748814465327,0.009541672244029197,12.94853865380745,16.831888785475893
True,0.11086201882458094,0.021774246939834912,0.11258055784632802,0.023434517707395592,2.9448127521687533,19.337158216340402
True,-0.3937059614608083,0.04076173562577068,-0.39130310441446553,0.04034830436563473,10.159712234897398,20.921797997894846
True,0.8262547196597932,0.03081281230469028,0.827142015700248,0.030824776458369247,21.56727622164282,20.672884209654182
True,-0.4314921524033211,0.02217154075566276,-0.4239223888668947,0.022926124980182958,11.091079277779627,19.21385077990684
True,-0.22714617745613142,0.028060132777425,-0.20334293648774543,0.03274791627479352,5.297582664418983,20.826616161522615
True,0.35440258210587305,0.003938074236328758,0.3473639779185259,0.005000000000000001,9.154237114320765,16.32765339518111
True,0.3865298571723827,0.015754657165391515,0.3908840833696948,0.01528127941048127,10.259130593035026,17.562422160131383
True,0.1995668756681818,0.04855489678620516,0.2046741483212625,0.047132780694373266,5.297434692165068,20.82623004347301
True,-0.9600088622045638,0.05088311300073058,-0.989118098856076,0.05039837369109878,25.561032444748136,20.81865138459216
True,-0.3620648923638095,0.012774807879122491,-0.36624556670981506,0.012958402150323154,9.621511590193263,17.226745864812763
True,0.3099977290116016,0.03837214070786472,0.31369078838569153,0.038602921801183375,8.15106616923116,20.941828287644487
True,0.3847637209087162,0.04180986769266544,0.3808590762503008,0.04162859934295021,9.882753192197999,20.901989396563003
True,0.20557808592146076,0.010008246892860997,0.19206870494568154,0.010760077521317957,5.050216614872579,16.965056493306356
True,0.4994262462981739,0.027010619458868373,0.5022613647746202,0.028402549915354684,13.109983183416713,20.361527886789567
True,0.2563210945066195,0.014304036066054827,0.28108025544247267,0.01274090336856902,7.384809281698674,17.198918624725394
True,-0.23816549756960972,0.011864885838809491,-0.24495042711613668,0.010087536315019255,6.442402258276379,16.891046516273462
True,0.6943872860341722,0.018752186548418426,0.6996517499091844,0.01814016650017626,18.34154390662618,18.09269741671658
